elapsed_s,relative_heading_deg,centered_heading_deg,longitudinal_delta_v_m_s,lateral_delta_v_m_s
185.85,237.1206099999994,218.8887249999992,-253.77697903249933,-312.5059413043748
185.9,236.95015499999937,218.71336499999916,-253.82875814449935,-312.5899597782498
185.95,236.77126999999942,218.52957499999923,-253.88012047387434,-312.6805487076248
186.0,236.58765999999937,218.34105999999917,-253.94116687012436,-312.7789584403748
186.05,236.39657249999934,218.14506749999913,-254.02462146162438,-312.8859980251248
186.1,236.1987674999994,217.9423574999992,-254.13112168062435,-312.9971809194998
186.15,235.99818249999936,217.73686749999914,-254.24784533224937,-313.1050785861248
186.2,235.79175749999942,217.52553749999922,-254.35459071749932,-313.20454253374976
186.25,235.57972999999936,217.30860499999918,-254.43958985637434,-313.29670052712476
186.3,235.36485499999932,217.08882499999913,-254.51554236062435,-313.3923889144998
186.35,235.1500199999994,216.86908499999922,-254.60556740762433,-313.49957559899974
186.4,234.93666499999935,216.65082499999917,-254.70726236812436,-313.6103171941248
186.45,234.71866249999943,216.42791749999924,-254.80885926212432,-313.7180432443747
186.5,234.49207999999936,216.1964299999992,-254.91361880074933,-313.82513186237475
186.55,234.25892499999932,215.95836999999915,-255.01911383812435,-313.93241661337476
186.6,234.0210749999994,215.71561499999925,-255.12326046112432,-314.04100074549973
186.65,233.78072999999935,215.4703649999992,-255.22914776449934,-314.14960939424975
186.7,233.54004749999945,215.22477749999928,-255.3365305819993,-314.25843869262474
186.75,233.29703999999938,214.9768649999992,-255.44344758362433,-314.3699648197498
186.8,233.05301999999932,214.72793999999917,-255.54958005324937,-314.48323162724984
186.85,232.8175849999994,214.48759999999925,-255.65269697799934,-314.5990236471248
186.9,232.59783999999937,214.2629499999992,-255.75110671074935,-314.71824799449985
186.95,232.39585249999942,214.05605749999927,-255.84696671449933,-314.8400465874998
187.0,232.21699249999938,213.87229249999922,-255.93956600712434,-314.9650568583748
187.05,232.06544249999934,213.7158374999992,-256.0334646808744,-315.0961227356248
187.1,231.94685499999937,213.59234499999923,-256.1262846231243,-315.2351565159998
187.15,231.87119499999935,213.51177999999922,-256.2105727798743,-315.3821827161248
187.2,231.83867999999936,213.47435999999922,-256.2902027778743,-315.5290618164998
187.25,231.84709249999935,213.47786749999923,-256.3688275942493,-315.67402862012483
187.3,231.89438999999936,213.52025999999924,-256.4506886051243,-315.8209812703749
187.35,231.96382499999933,213.58478999999923,-256.5366193757493,-315.9610447489998
187.4,232.04012749999936,213.65618749999925,-256.6218881974993,-316.09144867737484
187.45,232.12103749999932,213.73219249999923,-256.7078189681243,-316.2178318792498
187.5,232.19914749999933,213.80539749999926,-256.8013744091243,-316.34343054912483
