recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,4.0,14.0,0.683,0.124,0.589,0.128,0.366,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,6.0,16.0,0.308,0.298,0.51,0.318,0.206,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,8.0,18.0,0.502,0.244,0.158,0.28,0.204,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,10.0,20.0,0.767,0.19,0.199,0.258,0.208,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,12.0,22.0,0.609,0.182,0.271,0.23,0.196,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,14.0,24.0,0.41,0.25,0.028,0.256,0.202,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,16.0,26.0,0.505,0.248,0.129,0.26,0.75,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,18.0,28.0,0.689,0.396,0.403,0.344,0.852,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,20.0,30.0,0.499,0.408,0.671,0.406,0.94,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,22.0,32.0,0.328,0.5,0.448,0.49,0.974,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,24.0,34.0,0.443,0.516,0.527,0.502,0.992,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,26.0,36.0,0.3,0.362,0.079,0.43,0.998,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,28.0,38.0,0.292,0.29,0.241,0.408,0.97,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,30.0,40.0,0.239,0.33,0.208,0.452,0.982,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,0.0,10.0,0.156,0.566,0.459,0.58,0.986,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,2.0,12.0,0.242,0.506,0.344,0.534,0.976,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,4.0,14.0,0.266,0.528,0.506,0.532,0.898,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,6.0,16.0,0.298,0.512,0.4,0.524,0.902,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,8.0,18.0,0.488,0.46,0.254,0.47,0.732,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,10.0,20.0,0.249,0.494,0.757,0.458,0.74,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,12.0,22.0,0.15,0.556,0.636,0.53,0.788,train
